px,py,pz,ox,oy,oz,sx,sy,timestamp,trial_id,label
300,301,500,495,505,10,0,0,1000,0,static
301,300,500,495,505,10,0,0,1016.66666666667,0,static
300,299,500,495,505,10,0,0,1033.33333333333,0,static
300,300,500,495,505,10,0,0,1050,0,static
400,400,500,496,504,8,0,0,1066.66666666667,0,static
500,500,500,500,500,0,0,0,1083.33333333333,0,static
501,499,499,501,501,0,0,0,1100,0,static
501,500,500,503,498,0,0,0,1116.66666666667,0,static
499,499,500,500,500,0,0,0,1133.33333333333,0,static
499,499,500,503,499,1,0,0,1150,0,static
499,499,500,503,499,1,0,0,1166.66666666667,0,static
499,499,500,503,499,2,0,0,1183.33333333333,0,static
499,499,500,503,499,3,0,0,1200,0,static
500,500,499,501,499,2,0,0,1216.66666666667,0,static
500,500,499,501,499,2,0,0,1233.33333333333,0,static
501,499,500,502,500,1,0,0,1250,0,static
600,600,500,505,504,0,0,0,1266.66666666667,0,static
600,601,500,505,504,0,0,0,1283.33333333333,0,static
